field,block,pull / derived,definition,S&P / SNL source hint
higher_risk_leverage,Balance sheet,[D] derive,(Sched BA + unaff common stock + real estate + below-IG bonds) ÷ C&S — KEY asset-risk metric,derived
surplus_notes_pct,Balance sheet,[D] derive,Surplus notes ÷ (C&S + surplus notes),derived
net_unrealized_pct_cap,Balance sheet,[D] derive,Net unrealized ÷ C&S,derived
reserves_to_surplus,Balance sheet,[D] derive,Total reserves ÷ C&S,derived
net_income_2021..2025,Operating perf.,pull,"Statutory net income, 5 yrs ($000)",Five-Yr Hist.
roe_2021..2025,Operating perf.,pull,"Return on equity, 5 yrs (%)",SNL / Five-Yr Hist.
roa_2021..2025,Operating perf.,pull,"Return on assets, 5 yrs (%)",SNL
pretax_op_income_2021..2025,Operating perf.,pull,"Pretax operating gain EX realized capital gains, 5 yrs ($000)",Statutory IS
ah_combined_ratio_2021..2025,Operating perf.,pull,"A&H combined ratio, 5 yrs (%) — KEY for senior carriers",SNL health exhibit
benefit_ratio_2021..2025,Operating perf.,pull,"Total benefits ÷ premium, 5 yrs (%)",Statutory
expense_ratio_2021..2025,Operating perf.,pull,"Expense ÷ premium, 5 yrs (%)",Statutory
net_premium_2021..2025,Operating perf.,pull,"Net premium written, 5 yrs ($000)",Five-Yr Hist.
uw_gain_loss_2025,Operating perf.,pull,"Underwriting gain/(loss), current ($000)",Statutory
net_investment_income_2025,Operating perf.,pull,"Net investment income, current ($000)",Statutory
realized_gains_2025,Operating perf.,pull,"Realized capital gains, current ($000) — one-time reliance",Statutory
ceded_premium_pct,Operating perf.,pull,Ceded ÷ direct premium (%),Sched S / Exhibit
roe_5yr_mean / std / trend,Operating perf.,[D] derive,"Level, volatility, OLS slope of ROE",derived
ah_cr_level / trend,Operating perf.,[D] derive,Last value + slope of A&H combined ratio,derived
earnings_mix,Operating perf.,[D] derive,NII ÷ (NII + UW gain) — investment-income reliance,derived
oneoff_reliance,Operating perf.,[D] derive,Realized gains ÷ pretax income,derived
premium_cagr_5yr,Operating perf.,[D] derive,5-yr premium CAGR,derived
roe_vs_composite,Operating perf.,[D] derive,ROE mean minus L/H composite median (peer-relative — approx.),derived
growth_strain_flag,Operating perf.,[D] derive,Neg recent ROE + high premium CAGR + OP≥Adequate → credited-strain phase,derived
total_assets_usd,Business profile,pull,Admitted assets ($000) — scale,Statutory
total_premium_usd,Business profile,pull,Total net premium ($000) — scale,Statutory
medsup_market_rank,Business profile,pull,Med Sup market share / national rank if available,SNL market share
prem_<line>,Business profile,pull,"Premium by line ($000): medsup, hosp_indemnity, other_ah, ltc, stc, life_term, life_whole, life_ul_iul, annuity, preneed_final_expense, group, disability, dental_vision, credit, other",Exhibit of Premiums / state pages
states_licensed,Business profile,pull,Count of states licensed,SNL
top_state_pct,Business profile,pull,Premium share of largest state (%),Schedule T
top5_state_pct,Business profile,pull,Premium share of top 5 states (%),Schedule T
distribution_channels,Business profile,pull,"List: ind-agent/IMO, career/captive, DTC, worksite, BGA, bank/BD",10-K / company / AM Best
dtc_brand_flag,Business profile,pull,Meaningful direct-to-consumer brand (Y/N),Judgment
parent_fsr,Business profile,pull,Parent/affiliate rating (franchise/support),AM Best
hhi_lines,Business profile,[D] derive,Herfindahl on line-of-business % (concentration),derived
material_line_count,Business profile,[D] derive,Count of lines ≥ 10% of premium,derived
risk_type_mix,Business profile,[D] derive,Morbidity % / mortality % / market-spread % (lines→risk types),derived
channel_count,Business profile,[D] derive,Number of material distribution channels,derived
